City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,mitsamiouli,-11.3847,43.2844,26.75,75,6,6.02,KM,1699383284
121,sinjai,-5.1241,120.253,23.76,64,100,1.59,ID,1699383284
122,taruma,-22.7467,-50.5772,34.28,20,4,2.17,BR,1699383284
123,malabo,3.75,8.7833,25.92,100,40,2.57,GQ,1699383284
124,watertown,42.3709,-71.1828,20.16,65,40,7.2,US,1699383285
125,essaouira,31.5125,-9.77,21.72,28,5,8.75,MA,1699383285
126,aldinga beach,-35.2793,138.4604,13.02,92,27,3.27,AU,1699383285
127,zeya,53.75,127.2667,-11.4,60,100,2.07,RU,1699383285
128,tahoua,14.8888,5.2692,31.99,13,0,2.06,NE,1699383285
129,lautoka,-17.6167,177.4667,23.92,78,75,2.57,FJ,1699383285
130,saipan,15.1355,145.701,27.39,83,40,4.63,MP,1699383285
131,coquimbo,-29.9533,-71.3436,19.85,59,0,6.69,CL,1699383285
132,wotho,10.1657,166.0102,27.76,81,57,8.89,MH,1699383286
133,dalandzadgad,43.5708,104.425,-6.87,30,38,2.16,MN,1699383286
134,wailua homesteads,22.0669,-159.378,25.97,85,75,7.72,US,1699383286
135,champoton,19.35,-90.7167,28.23,60,97,4.8,MX,1699383286
136,glendive,47.1053,-104.7125,13.79,47,40,6.17,US,1699383286
137,astrakhan,46.3497,48.0408,9.93,76,0,5.0,RU,1699383286
138,eastham,41.8301,-69.9739,17.19,75,40,5.66,US,1699383286
139,nouadhibou,20.931,-17.0347,22.99,60,0,8.23,MR,1699383286
140,homer,59.6425,-151.5483,-0.13,86,20,1.54,US,1699383287
141,kedougou,12.5579,-12.1743,36.32,34,0,1.03,SN,1699383287
142,howrah,22.5892,88.3103,25.0,73,13,0.0,IN,1699383287
143,queenstown,-31.8976,26.8753,12.69,81,85,3.31,ZA,1699383287
144,fort bragg,35.139,-79.006,27.68,35,0,4.12,US,1699383287
145,luanda,-8.8368,13.2343,27.0,78,20,4.63,AO,1699383287
146,ravar,31.2656,56.8055,17.12,52,0,0.96,IR,1699383287
147,garachico,28.7781,-17.7646,19.71,68,75,6.69,ES,1699383287
148,tejen,37.3834,60.5054,20.58,45,92,4.1,TM,1699383287
149,kailua-kona,19.6406,-155.9956,25.84,84,75,3.6,US,1699383288
150,thompson,55.7435,-97.8558,-2.91,74,75,1.54,CA,1699383288
151,sitka,57.0531,-135.33,3.94,93,75,3.6,US,1699383288
152,general roca,-39.0333,-67.5833,22.01,33,3,16.18,AR,1699383288
153,bredasdorp,-34.5322,20.0403,13.95,62,89,1.44,ZA,1699383288
154,egilsstadir,65.2653,-14.3948,-0.05,93,100,1.03,IS,1699383288
155,akureyri,65.6835,-18.0878,-7.04,93,20,0.0,IS,1699383288
156,jamestown,42.097,-79.2353,10.77,82,100,5.66,US,1699383014
157,vila velha,-20.3297,-40.2925,24.97,69,20,7.2,BR,1699383289
158,juneau,58.3019,-134.4197,4.0,95,75,4.63,US,1699383289
159,den burg,53.0542,4.7972,12.2,78,100,7.72,NL,1699383289
160,cabo san lucas,22.8909,-109.9124,32.09,57,75,6.17,MX,1699382936
161,carnarvon,-24.8667,113.6333,20.53,76,0,7.9,AU,1699383289
162,pandan,14.0453,124.1694,27.07,86,100,5.91,PH,1699383289
163,buxtehude,53.45,9.7,9.53,90,40,2.57,DE,1699383289
164,qarqaraly,49.4058,75.4742,2.57,24,5,1.65,KZ,1699383289
165,bulanik,39.0929,42.2703,9.35,53,0,1.1,TR,1699383289
